year,overall_pick,newPick,pickDifference,rank,team,player,college,3_point_percentage,assists,average_assists,average_minutes_played,average_total_rebounds,box_plus_minus,expected_perf,field_goal_percentage,free_throw_percentage,games,minutes_played,observed_perf,overall_performance,pick_perf_difference,points,points_per_game,total_rebounds,value_over_replacement,win_shares,win_shares_per_48_minutes,years_active
1990,53,53,0,NA,SEA,Abdul Shamsid-Deen,Providence,,,,,,,,,,,,,,,,,,,,,
1990,25,37,-12,Role,POR,Alaa Abdelnaby,Duke,,,,,,,,,,,,,,,,,,,,,
1990,12,35,-23,Role,HOU,Alec Kessler,Georgia,,,,,,,,,,,,,,,,,,,,,
1990,23,24,-1,Solid,SAC,Anthony Bonner,Saint Louis,,,,,,,,,,,,,,,,,,,,,
1990,45,5,40,Elite,IND,Antonio Davis,Texas-El Paso,,,,,,,,,,,,,,,,,,,,,
1990,40,14,26,Elite,SAC,Bimbo Coles,Virginia Tech,,,,,,,,,,,,,,,,,,,,,
1990,8,40,-32,Role,LAC,Bo Kimble,Loyola Marymount,,,,,,,,,,,,,,,,,,,,,
1990,32,46,-14,Role,PHI,Brian Oliver,Georgia Tech,,,,,,,,,,,,,,,,,,,,,
1990,30,29,1,Solid,MIA,Carl Herrera,Houston,,,,,,,,,,,,,,,,,,,,,
1990,48,7,41,Elite,PHO,Cedric Ceballos,Cal State Fullerton,,,,,,,,,,,,,,,,,,,,,
1990,15,44,-29,Role,MIA,Dave Jamerson,Ohio University,,,,,,,,,,,,,,,,,,,,,
1990,19,18,1,Elite,BOS,Dee Brown,Jacksonville University,,,,,,,,,,,,,,,,,,,,,
1990,19,16,3,Elite,BOS,Dee Brown,Jacksonville University,,,,,,,,,,,,,,,,,,,,,
1990,19,18,1,Rotation,BOS,Dee Brown,Jacksonville University,,,,,,,,,,,,,,,,,,,,,
1990,19,16,3,Rotation,BOS,Dee Brown,Jacksonville University,,,,,,,,,,,,,,,,,,,,,
1990,4,11,-7,Elite,ORL,Dennis Scott,Georgia Tech,,,,,,,,,,,,,,,,,,,,,
1990,47,16,31,Starter,PHI,Derek Strong,Xavier,,,,,,,,,,,,,,,,,,,,,
1990,1,2,-1,SuperStar,NJN,Derrick Coleman,Syracuse,,,,,,,,,,,,,,,,,,,,,
1990,18,21,-3,Solid,SAC,Duane Causwell,Temple,,,,,,,,,,,,,,,,,,,,,
1990,24,43,-19,Role,SAS,Dwayne Schintzius,Florida,,,,,,,,,,,,,,,,,,,,,
1990,27,6,21,Elite,LAL,Elden Campbell,Clemson,,,,,,,,,,,,,,,,,,,,,
1990,6,22,-16,Solid,MIN,Felton Spencer,Louisville,,,,,,,,,,,,,,,,,,,,,
1990,2,1,1,Generational,SEA,Gary Payton,Oregon State,,,,,,,,,,,,,,,,,,,,,
1990,20,33,-13,Role,MIN,Gerald Glass,Ole Miss,,,,,,,,,,,,,,,,,,,,,
1990,35,30,5,Solid,WSB,Greg Foster,Texas-El Paso,,,,,,,,,,,,,,,,,,,,,
1990,21,15,6,Starter,PHO,Jayson Williams,St. John's,,,,,,,,,,,,,,,,,,,,,
1990,17,45,-28,Role,NYK,Jerrod Mustaf,Maryland,,,,,,,,,,,,,,,,,,,,,
1990,38,25,13,Solid,SEA,Jud Buechler,Arizona,,,,,,,,,,,,,,,,,,,,,
1990,5,4,1,Star,CHH,Kendall Gill,Illinois,,,,,,,,,,,,,,,,,,,,,
1990,46,36,10,Role,IND,Kenny Williams,Elizabeth City State University,,,,,,,,,,,,,,,,,,,,,
1990,34,41,-7,Role,GSW,Kevin Pritchard,Kansas,,,,,,,,,,,,,,,,,,,,,
1990,26,47,-21,Rotation,DET,Lance Blanks,Texas,,,,,,,,,,,,,,,,,,,,,
1990,28,51,-23,Rotation,GSW,Les Jepsen,Iowa,,,,,,,,,,,,,,,,,,,,,
1990,7,9,-2,Elite,SAC,Lionel Simmons,La Salle,,,,,,,,,,,,,,,,,,,,,
1990,13,13,0,Elite,LAC,Loy Vaught,Michigan,,,,,,,,,,,,,,,,,,,,,
1990,3,10,-7,Elite,DEN,Mahmoud Abdul-Rauf,LSU,,,,,,,,,,,,,,,,,,,,,
