year,overall_pick,newPick,pickDifference,rank,team,player,college,3_point_percentage,assists,average_assists,average_minutes_played,average_total_rebounds,box_plus_minus,expected_perf,field_goal_percentage,free_throw_percentage,games,minutes_played,observed_perf,overall_performance,pick_perf_difference,points,points_per_game,total_rebounds,value_over_replacement,win_shares,win_shares_per_48_minutes,years_active
1993,12,14,-2,Elite,LAL,George Lynch,UNC,,,,,,,,,,,,,,,,,,,,,
1993,30,20,10,Starter,WSB,Gheorghe Mureșan,Didn't play College,,,,,,,,,,,,,,,,,,,,,
1993,17,26,-9,Role,CHH,Greg Graham,Indiana,,,,,,,,,,,,,,,,,,,,,
1993,5,8,-3,Elite,MIN,Isaiah Rider,UNLV,,,,,,,,,,,,,,,,,,,,,
1993,4,5,-1,Star,DAL,Jamal Mashburn,Kentucky,,,,,,,,,,,,,,,,,,,,,
1993,21,23,-2,Solid,POR,James Robinson,Alabama,,,,,,,,,,,,,,,,,,,,,
1993,36,48,-12,NA,NJN,John Best,Tennessee Technological University,,,,,,,,,,,,,,,,,,,,,
1993,43,29,14,Role,DEN,Josh Grant,Utah,,,,,,,,,,,,,,,,,,,,,
1993,48,41,7,Rotation,POR,Kevin Thompson,NC State,,,,,,,,,,,,,,,,,,,,,
1993,53,49,4,NA,LAC,Leonard White,Southern University and A&M College,,,,,,,,,,,,,,,,,,,,,
1993,10,11,-1,Elite,DET,Lindsey Hunter,Jackson State University,,,,,,,,,,,,,,,,,,,,,
1993,28,17,11,Starter,DAL,Lucious Harris,Cal State Long Beach,,,,,,,,,,,,,,,,,,,,,
1993,18,40,-22,Rotation,UTA,Luther Wright,Seton Hall,,,,,,,,,,,,,,,,,,,,,
1993,27,42,-15,Rotation,PHO,Malcolm Mackey,Georgia Tech,,,,,,,,,,,,,,,,,,,,,
1993,50,50,0,NA,HOU,Marcelo Nicola,Didn't play College,,,,,,,,,,,,,,,,,,,,,
1993,49,51,-2,NA,PHO,Mark Buford,Mississippi Valley State University,,,,,,,,,,,,,,,,,,,,,
1993,52,31,21,Rotation,SAC,Mike Peplowski,Michigan State,,,,,,,,,,,,,,,,,,,,,
1993,37,4,33,Star,LAL,Nick Van Exel,Cincinnati,,,,,,,,,,,,,,,,,,,,,
1993,16,24,-8,Solid,NJN,Rex Walters,Kansas,,,,,,,,,,,,,,,,,,,,,
1993,40,30,10,Rotation,ATL,Rich Manning,Washington,,,,,,,,,,,,,,,,,,,,,
1993,46,32,14,Rotation,HOU,Richard Petruška,UCLA,,,,,,,,,,,,,,,,,,,,,
1993,9,9,0,Elite,DEN,Rodney Rogers,Wake Forest,,,,,,,,,,,,,,,,,,,,,
1993,24,2,22,SuperStar,HOU,Sam Cassell,Florida State,,,,,,,,,,,,,,,,,,,,,
1993,20,19,1,Starter,CHH,Scott Burrell,UConn,,,,,,,,,,,,,,,,,,,,,
1993,14,35,-21,Rotation,IND,Scott Haskin,Oregon State,,,,,,,,,,,,,,,,,,,,,
1993,2,13,-11,Elite,PHI,Shawn Bradley,BYU,,,,,,,,,,,,,,,,,,,,,
1993,29,52,-23,NA,MIN,Sherron Mills,VCU,,,,,,,,,,,,,,,,,,,,,
1993,51,53,-2,NA,IND,Spencer Dunkley,University of Delaware,,,,,,,,,,,,,,,,,,,,,
1993,13,21,-8,Solid,LAC,Terry Dehere,Seton Hall,,,,,,,,,,,,,,,,,,,,,
1993,39,54,-15,NA,IND,Thomas Hill,Duke,,,,,,,,,,,,,,,,,,,,,
1993,8,7,1,Star,MIL,Vin Baker,University of Hartford,,,,,,,,,,,,,,,,,,,,,
1994,17,10,7,Elite,POR,Aaron McKie,Temple,,,,,,,,,,,,,,,,,,,,,
1994,53,46,7,NA,HOU,Albert Burditt,Texas,,,,,,,,,,,,,,,,,,,,,
1994,36,47,-11,NA,BOS,Andrei Fetisov,Didn't play College,,,,,,,,,,,,,,,,,,,,,
1994,52,17,35,Solid,PHO,Anthony Goldwire,Houston,,,,,,,,,,,,,,,,,,,,,
1994,39,33,6,Role,GSW,Anthony Miller,Michigan State,,,,,,,,,,,,,,,,,,,,,
1994,29,41,-12,Rotation,PHO,Antonio Lang,Duke,,,,,,,,,,,,,,,,,,,,,
1994,20,34,-14,Role,PHI,B.J. Tyler,Texas,,,,,,,,,,,,,,,,,,,,,
1994,22,37,-15,Role,SAS,Bill Curley,Boston College,,,,,,,,,,,,,,,,,,,,,
1994,8,8,0,Elite,SAC,Brian Grant,Xavier,,,,,,,,,,,,,,,,,,,,,
1994,27,32,-5,Role,ORL,Brooks Thompson,Oklahoma State,,,,,,,,,,,,,,,,,,,,,
1994,11,18,-7,Solid,SEA,Carlos Rogers,Tennessee State,,,,,,,,,,,,,,,,,,,,,
1994,50,45,5,NA,PHO,Charles Claxton,Georgia,,,,,,,,,,,,,,,,,,,,,
1994,26,11,15,Elite,NYK,Charlie Ward,Florida State,,,,,,,,,,,,,,,,,,,,,
1994,16,28,-12,Role,GSW,Clifford Rozier,Louisville,,,,,,,,,,,,,,,,,,,,,
1994,44,48,-4,NA,IND,Damon Bailey,Indiana,,,,,,,,,,,,,,,,,,,,,
1994,38,38,0,Role,CHH,Darrin Hancock,Kansas,,,,,,,,,,,,,,,,,,,,,
1994,28,49,-21,NA,DAL,Deon Thomas,Illinois,,,,,,,,,,,,,,,,,,,,,
1994,33,31,2,Role,PHI,Derrick Alston,Duquesne,,,,,,,,,,,,,,,,,,,,,
1994,21,24,-3,Role,CHI,Dickey Simpkins,Providence,,,,,,,,,,,,,,,,,,,,,
1994,37,36,1,Role,SEA,Dontonio Wingfield,Cincinnati,,,,,,,,,,,,,,,,,,,,,
1994,4,7,-3,Star,MIN,Donyell Marshall,UConn,,,,,,,,,,,,,,,,,,,,,
1994,45,39,6,Role,GSW,Dwayne Morton,Louisville,,,,,,,,,,,,,,,,,,,,,
1994,10,3,7,SuperStar,LAL,Eddie Jones,Temple,,,,,,,,,,,,,,,,,,,,,
1994,18,26,-8,Role,MIL,Eric Mobley,Pitt,,,,,,,,,,,,,,,,,,,,,
1994,9,27,-18,Role,BOS,Eric Montross,UNC,,,,,,,,,,,,,,,,,,,,,
1994,15,14,1,Starter,IND,Eric Piatkowski,Nebraska,,,,,,,,,,,,,,,,,,,,,
1994,42,50,-8,NA,CLE,Gary Collier,Tulsa,,,,,,,,,,,,,,,,,,,,,
1994,34,40,-6,Rotation,ATL,Gaylon Nickerson,Northwestern Oklahoma State University,,,,,,,,,,,,,,,,,,,,,
1994,1,4,-3,Star,MIL,Glenn Robinson,Purdue,,,,,,,,,,,,,,,,,,,,,
1994,3,2,1,SuperStar,DET,Grant Hill,Duke,,,,,,,,,,,,,,,,,,,,,
1994,25,19,6,Solid,LAC,Greg Minor,Louisville,,,,,,,,,,,,,,,,,,,,,
1994,30,15,15,Starter,MIN,Howard Eisley,Boston College,,,,,,,,,,,,,,,,,,,,,
1994,13,6,7,Star,DEN,Jalen Rose,Michigan,,,,,,,,,,,,,,,,,,,,,
1994,47,35,12,Role,UTA,Jamie Watson,South Carolina,,,,,,,,,,,,,,,,,,,,,
1994,2,1,1,Generational,DAL,Jason Kidd,California,,,,,,,,,,,,,,,,,,,,,
1994,40,44,-4,Rotation,MIA,Jeff Webster,Oklahoma,,,,,,,,,,,,,,,,,,,,,
1994,48,51,-3,NA,DET,Jevon Crudup,Missouri,,,,,,,,,,,,,,,,,,,,,
1994,32,30,2,Role,WSB,Jim McIlvaine,Marquette,,,,,,,,,,,,,,,,,,,,,
1994,5,5,0,Star,WSB,Juwan Howard,Michigan,,,,,,,,,,,,,,,,,,,,,
1994,12,16,-4,Starter,MIA,Khalid Reeves,Arizona,,,,,,,,,,,,,,,,,,,,,
1994,49,52,-3,NA,CHI,Kris Bruton,Benedict College,,,,,,,,,,,,,,,,,,,,,
1994,7,13,-6,Elite,LAC,Lamond Murray,California,,,,,,,,,,,,,,,,,,,,,
1994,51,22,29,Solid,SAC,Lawrence Funderburke,Ohio State,,,,,,,,,,,,,,,,,,,,,
1994,35,24,11,Role,SAC,Michael Smith,Providence,,,,,,,,,,,,,,,,,,,,,
1994,35,21,14,Role,SAC,Michael Smith,Providence,,,,,,,,,,,,,,,,,,,,,
1994,35,24,11,Starter,SAC,Michael Smith,Providence,,,,,,,,,,,,,,,,,,,,,
1994,35,21,14,Starter,SAC,Michael Smith,Providence,,,,,,,,,,,,,,,,,,,,,
1994,24,20,4,Solid,NYK,Monty Williams,Notre Dame,,,,,,,,,,,,,,,,,,,,,
1994,31,53,-22,NA,ORL,Rodney Dent,Kentucky,,,,,,,,,,,,,,,,,,,,,
1994,6,23,-17,Solid,PHI,Sharone Wright,Clemson,,,,,,,,,,,,,,,,,,,,,
1994,43,42,1,Rotation,POR,Shawnelle Scott,St. John's,,,,,,,,,,,,,,,,,,,,,
1994,19,29,-10,Role,DAL,Tony Dumas,Missouri-Kansas City,,,,,,,,,,,,,,,,,,,,,
1994,46,12,34,Elite,MIL,Voshon Lenard,Minnesota,,,,,,,,,,,,,,,,,,,,,
1994,23,9,14,Elite,PHO,Wesley Person,Auburn,,,,,,,,,,,,,,,,,,,,,
1994,41,54,-13,NA,IND,William Njoku,Didn't play College,,,,,,,,,,,,,,,,,,,,,
1994,14,43,-29,Rotation,NJN,Yinka Dare,George Washington,,,,,,,,,,,,,,,,,,,,,
1994,54,25,29,Role,SEA,Željko Rebrača,Didn't play College,,,,,,,,,,,,,,,,,,,,,
1995,16,18,-2,Starter,ATL,Alan Henderson,Indiana,,,,,,,,,,,,,,,,,,,,,
1995,34,23,11,Solid,GSW,Andrew DeClercq,Florida,,,,,,,,,,,,,,,,,,,,,
1995,44,51,-7,NA,DEN,Anthony Pelle,Fresno State,,,,,,,,,,,,,,,,,,,,,
1995,2,7,-5,Star,LAC,Antonio McDyess,Alabama,,,,,,,,,,,,,,,,,,,,,
1995,17,12,5,Elite,CLE,Bob Sura,Florida State,,,,,,,,,,,,,,,,,,,,,
1995,15,6,9,Star,DEN,Brent Barry,Oregon State,,,,,,,,,,,,,,,,,,,,,
1995,6,15,-9,Starter,VAN,Bryant Reeves,Oklahoma State,,,,,,,,,,,,,,,,,,,,,
1995,12,25,-13,Solid,DAL,Cherokee Parks,Duke,,,,,,,,,,,,,,,,,,,,,
1995,56,26,30,Solid,PHO,Chris Carr,Southern Illinois,,,,,,,,,,,,,,,,,,,,,
1995,53,52,1,NA,LAC,Constantin Popa,Miami (FL),,,,,,,,,,,,,,,,,,,,,
1995,13,14,-1,Starter,SAC,Corliss Williamson,Arkansas,,,,,,,,,,,,,,,,,,,,,
1995,29,24,5,Solid,SAS,Cory Alexander,Virginia,,,,,,,,,,,,,,,,,,,,,
1995,57,49,8,Rotation,ATL,Cuonzo Martin,Purdue,,,,,,,,,,,,,,,,,,,,,
1995,7,4,3,Star,TOR,Damon Stoudamire,Arizona,,,,,,,,,,,,,,,,,,,,,
1995,25,41,-16,Rotation,ORL,David Vaughn,Memphis,,,,,,,,,,,,,,,,,,,,,
1995,51,53,-2,NA,SAC,Dejan Bodiroga,Didn't play College,,,,,,,,,,,,,,,,,,,,,
1995,58,28,30,Role,DET,Don Reid,Georgetown,,,,,,,,,,,,,,,,,,,,,
1995,42,48,-6,Rotation,ATL,Donnie Boyce,Colorado,,,,,,,,,,,,,,,,,,,,,
1995,39,38,1,Rotation,CLE,Donny Marshall,UConn,,,,,,,,,,,,,,,,,,,,,
1995,31,42,-11,Rotation,CHI,Dragan Tarlać,Didn't play College,,,,,,,,,,,,,,,,,,,,,
1995,40,39,1,Rotation,GSW,Dwayne Whitfield,Jackson State University,,,,,,,,,,,,,,,,,,,,,
1995,9,32,-23,Role,NJN,Ed O'Bannon,UCLA,,,,,,,,,,,,,,,,,,,,,
1995,43,10,33,Elite,MIL,Eric Snow,Michigan State,,,,,,,,,,,,,,,,,,,,,
1995,14,16,-2,Starter,BOS,Eric Williams,Providence,,,,,,,,,,,,,,,,,,,,,
1995,41,54,-13,NA,HOU,Erik Meek,Duke,,,,,,,,,,,,,,,,,,,,,
1995,54,55,-1,NA,SEA,Eurelijus Žukauskas,Didn't play College,,,,,,,,,,,,,,,,,,,,,
1995,37,43,-6,Rotation,LAL,Frankie King,Western Carolina University,,,,,,,,,,,,,,,,,,,,,
1995,52,17,35,Starter,IND,Fred Hoiberg,Iowa State,,,,,,,,,,,,,,,,,,,,,
1995,11,20,-9,Starter,MIL,Gary Trent,Ohio University,,,,,,,,,,,,,,,,,,,,,
1995,46,56,-10,NA,MIA,George Banks,Texas-El Paso,,,,,,,,,,,,,,,,,,,,,
1995,22,36,-14,Role,CHH,George Zídek,UCLA,,,,,,,,,,,,,,,,,,,,,
1995,28,19,9,Starter,UTA,Greg Ostertag,Kansas,,,,,,,,,,,,,,,,,,,,,
1995,20,22,-2,Solid,CHI,Jason Caffey,Alabama,,,,,,,,,,,,,,,,,,,,,
1995,49,35,14,Role,MIN,Jerome Allen,Penn,,,,,,,,,,,,,,,,,,,,,
1995,3,5,-2,Star,PHI,Jerry Stackhouse,UNC,,,,,,,,,,,,,,,,,,,,,
1995,35,34,1,Role,TOR,Jimmy King,Michigan,,,,,,,,,,,,,,,,,,,,,
1995,1,9,-8,Star,GSW,Joe Smith,Maryland,,,,,,,,,,,,,,,,,,,,,
1995,33,47,-14,Rotation,BOS,Junior Burrough,Virginia,,,,,,,,,,,,,,,,,,,,,
1995,5,1,4,Generational,MIN,Kevin Garnett,Didn't play College,,,,,,,,,,,,,,,,,,,,,
1995,10,8,2,Star,MIA,Kurt Thomas,TCU,,,,,,,,,,,,,,,,,,,,,
1995,36,30,6,Role,VAN,Lawrence Moten,Syracuse,,,,,,,,,,,,,,,,,,,,,
1995,24,31,-7,Role,DAL,Loren Meyer,Iowa State,,,,,,,,,,,,,,,,,,,,,
1995,30,46,-16,Rotation,DET,Lou Roe,UMass,,,,,,,,,,,,,,,,,,,,,
1995,27,33,-6,Role,PHO,Mario Bennett,Arizona State,,,,,,,,,,,,,,,,,,,,,
1995,48,27,21,Role,MIN,Mark Davis,Texas Tech,,,,,,,,,,,,,,,,,,,,,
1995,50,40,10,Rotation,GSW,Martin Lewis,Seward County Community College,,,,,,,,,,,,,,,,,,,,,
1995,21,3,18,SuperStar,PHO,Michael Finley,Wisconsin,,,,,,,,,,,,,,,,,,,,,
1995,55,50,5,NA,GSW,Michael McDonald,New Orleans,,,,,,,,,,,,,,,,,,,,,
1995,19,44,-25,Rotation,DET,Randolph Childress,Wake Forest,,,,,,,,,,,,,,,,,,,,,
1995,38,57,-19,NA,MIL,Rashard Griffith,Wisconsin,,,,,,,,,,,,,,,,,,,,,
1995,4,2,2,SuperStar,WSB,Rasheed Wallace,UNC,,,,,,,,,,,,,,,,,,,,,
1995,8,29,-21,Role,POR,Shawn Respert,Michigan State,,,,,,,,,,,,,,,,,,,,,
1995,26,45,-19,Rotation,SEA,Sherell Ford,University of Illinois at Chicago,,,,,,,,,,,,,,,,,,,,,
1995,32,37,-5,Rotation,WSB,Terrence Rencher,Texas,,,,,,,,,,,,,,,,,,,,,
1995,18,11,7,Elite,DET,Theo Ratliff,Wyoming,,,,,,,,,,,,,,,,,,,,,
1995,23,13,10,Elite,IND,Travis Best,Georgia Tech,,,,,,,,,,,,,,,,,,,,,
1995,45,58,-13,NA,ATL,Troy Brown,Providence,,,,,,,,,,,,,,,,,,,,,
1995,47,21,26,Solid,SAC,Tyus Edney,UCLA,,,,,,,,,,,,,,,,,,,,,
1996,1,4,-3,Generational,PHI,Allen Iverson,Georgetown,,,,,,,,,,,,,,,,,,,,,
1996,49,41,8,Rotation,ORL,Amal McCaskill,Marquette,,,,,,,,,,,,,,,,,,,,,
1996,6,9,-3,Star,BOS,Antoine Walker,Kentucky,,,,,,,,,,,,,,,,,,,,,
1996,43,46,-3,Rotation,PHO,Ben Davis,Arizona,,,,,,,,,,,,,,,,,,,,,
1996,27,31,-4,Role,ORL,Brian Evans,Indiana,,,,,,,,,,,,,,,,,,,,,
1996,51,35,16,Role,VAN,Chris Robinson,Western Kentucky,,,,,,,,,,,,,,,,,,,,,
1996,58,48,10,NA,DAL,Darnell Robinson,Arkansas,,,,,,,,,,,,,,,,,,,,,
1996,24,12,12,Star,LAL,Derek Fisher,Little Rock,,,,,,,,,,,,,,,,,,,,,
1996,21,47,-26,NA,NYK,Dontae' Jones,Mississippi State,,,,,,,,,,,,,,,,,,,,,
1996,36,49,-13,NA,LAC,Doron Sheffer,UConn,,,,,,,,,,,,,,,,,,,,,
1996,57,34,23,Role,SEA,Drew Barry,Georgia Tech,,,,,,,,,,,,,,,,,,,,,
1996,23,38,-15,Rotation,DEN,Efthimios Rentzias,Didn't play College,,,,,,,,,,,,,,,,,,,,,
1996,10,14,-4,Elite,IND,Erick Dampier,Mississippi State,,,,,,,,,,,,,,,,,,,,,
1996,48,25,23,Solid,PHI,Jamie Feick,Michigan State,,,,,,,,,,,,,,,,,,,,,
1996,41,42,-1,Rotation,SAC,Jason Sasser,Texas Tech,,,,,,,,,,,,,,,,,,,,,
1996,37,15,22,Elite,DEN,Jeff McInnis,UNC,,,,,,,,,,,,,,,,,,,,,
1996,53,45,8,Rotation,MIL,Jeff Nordgaard,Green Bay,,,,,,,,,,,,,,,,,,,,,
1996,17,10,7,Star,POR,Jermaine O'Neal,Didn't play College,,,,,,,,,,,,,,,,,,,,,
1996,26,17,9,Starter,DET,Jerome Williams,Georgetown,,,,,,,,,,,,,,,,,,,,,
1996,45,50,-5,NA,SEA,Joe Vogel,Colorado State,,,,,,,,,,,,,,,,,,,,,
1996,18,27,-9,Solid,NYK,John Wallace,Syracuse,,,,,,,,,,,,,,,,,,,,,
1996,35,51,-16,NA,SEA,Joseph Blair,Arizona,,,,,,,,,,,,,,,,,,,,,
1996,8,13,-5,Star,NJN,Kerry Kittles,Villanova,,,,,,,,,,,,,,,,,,,,,
1996,13,1,12,Generational,CHH,Kobe Bryant,Didn't play College,,,,,,,,,,,,,,,,,,,,,
1996,7,16,-9,Starter,LAC,Lorenzen Wright,Memphis,,,,,,,,,,,,,,,,,,,,,
1996,44,20,24,Starter,CHH,Malik Rose,Drexel,,,,,,,,,,,,,,,,,,,,,
1996,46,37,9,Role,POR,Marcus Brown,Murray State,,,,,,,,,,,,,,,,,,,,,
1996,2,7,-5,Star,TOR,Marcus Camby,UMass,,,,,,,,,,,,,,,,,,,,,
1996,40,52,-12,NA,GSW,Marcus Mann,Mississippi Valley State University,,,,,,,,,,,,,,,,,,,,,
1996,31,33,-2,Role,PHI,Mark Hendrickson,Washington State,,,,,,,,,,,,,,,,,,,,,
1996,52,39,13,Rotation,IND,Mark Pope,Kentucky,,,,,,,,,,,,,,,,,,,,,
1996,25,32,-7,Role,UTA,Martin Müürsepp,Didn't play College,,,,,,,,,,,,,,,,,,,,,
1996,33,23,10,Solid,MIL,Moochie Norris,University of West Florida,,,,,,,,,,,,,,,,,,,,,
1996,30,21,9,Starter,HOU,Othella Harrington,Georgetown,,,,,,,,,,,,,,,,,,,,,
1996,14,8,6,Star,SAC,Peja Stojaković,Didn't play College,,,,,,,,,,,,,,,,,,,,,
1996,28,43,-15,Rotation,ATL,Priest Lauderdale,Central State University,,,,,,,,,,,,,,,,,,,,,
1996,42,28,14,Solid,HOU,Randy Livingston,LSU,,,,,,,,,,,,,,,,,,,,,
1996,5,3,2,Generational,MIN,Ray Allen,UConn,,,,,,,,,,,,,,,,,,,,,
1996,56,40,16,Rotation,CLE,Reggie Geary,Arizona,,,,,,,,,,,,,,,,,,,,,
1996,47,53,-6,NA,SEA,Ron Riley,Arizona State,,,,,,,,,,,,,,,,,,,,,
1996,55,54,1,NA,WSB,Ronnie Henderson,LSU,,,,,,,,,,,,,,,,,,,,,
1996,22,30,-8,Role,VAN,Roy Rogers,Alabama,,,,,,,,,,,,,,,,,,,,,
1996,39,55,-16,NA,PHO,Russ Millard,Iowa,,,,,,,,,,,,,,,,,,,,,
1996,32,56,-24,NA,PHI,Ryan Minor,Oklahoma,,,,,,,,,,,,,,,,,,,,,
1996,9,26,-17,Solid,DAL,Samaki Walker,Louisville,,,,,,,,,,,,,,,,,,,,,
1996,54,18,36,Starter,UTA,Shandon Anderson,Georgia,,,,,,,,,,,,,,,,,,,,,
1996,3,6,-3,Star,VAN,Shareef Abdur-Rahim,California,,,,,,,,,,,,,,,,,,,,,
1996,34,57,-23,NA,DAL,Shawn Harvey,West Virginia State University,,,,,,,,,,,,,,,,,,,,,
1996,4,5,-1,SuperStar,MIL,Stephon Marbury,Georgia Tech,,,,,,,,,,,,,,,,,,,,,
1996,38,44,-6,Rotation,BOS,Steve Hamer,Tennessee,,,,,,,,,,,,,,,,,,,,,
1996,15,2,13,Generational,PHO,Steve Nash,Santa Clara,,,,,,,,,,,,,,,,,,,,,
1996,50,58,-8,NA,HOU,Terrell Bell,Georgia,,,,,,,,,,,,,,,,,,,,,
1996,11,36,-25,Role,GSW,Todd Fuller,NC State,,,,,,,,,,,,,,,,,,,,,
1996,16,19,-3,Starter,CHH,Tony Delk,Kentucky,,,,,,,,,,,,,,,,,,,,,
1996,29,29,0,Role,CHI,Travis Knight,UConn,,,,,,,,,,,,,,,,,,,,,
1996,12,22,-10,Solid,CLE,Vitaly Potapenko,Wright State University,,,,,,,,,,,,,,,,,,,,,
1996,19,24,-5,Solid,NYK,Walter McCarty,Kentucky,,,,,,,,,,,,,,,,,,,,,
1996,20,11,9,Star,CLE,Zydrunas Ilgauskas,Didn't play College,,,,,,,,,,,,,,,,,,,,,
1997,8,24,-16,Solid,GSW,Adonal Foyle,Colgate,,,,,,,,,,,,,,,,,,,,,
1997,49,48,1,NA,ATL,Alain Digbeau,Didn't play College,,,,,,,,,,,,,,,,,,,,,
1997,47,12,35,Elite,POR,Alvin Williams,Villanova,,,,,,,,,,,,,,,,,,,,,
1997,39,16,23,Starter,SAC,Anthony Johnson,College of Charleston,,,,,,,,,,,,,,,,,,,,,
1997,21,11,10,Elite,NJN,Anthony Parker,Bradley,,,,,,,,,,,,,,,,,,,,,
1997,4,9,-5,Elite,VAN,Antonio Daniels,Bowling Green,,,,,,,,,,,,,,,,,,,,,
1997,12,15,-3,Starter,IND,Austin Croshere,Providence,,,,,,,,,,,,,,,,,,,,,
1997,55,49,6,NA,BOS,Ben Pepper,Didn't play College,,,,,,,,,,,,,,,,,,,,,
1997,23,10,13,Elite,SEA,Bobby Jackson,Minnesota,,,,,,,,,,,,,,,,,,,,,
1997,16,7,9,Elite,CLE,Brevin Knight,Stanford,,,,,,,,,,,,,,,,,,,,,
1997,34,40,-6,Rotation,DAL,Bubba Wells,Austin Peay State University,,,,,,,,,,,,,,,,,,,,,
1997,52,50,2,NA,VAN,C.J. Bruton,Indian Hills Community College,,,,,,,,,,,,,,,,,,,,,
1997,44,26,18,Solid,CLE,Cedric Henderson,Memphis,,,,,,,,,,,,,,,,,,,,,
1997,31,41,-10,Rotation,DET,Charles O'Bannon,UCLA,,,,,,,,,,,,,,,,,,,,,
1997,26,32,-6,Role,MIA,Charles Smith,New Mexico,,,,,,,,,,,,,,,,,,,,,
1997,3,3,0,SuperStar,BOS,Chauncey Billups,Colorado,,,,,,,,,,,,,,,,,,,,,
1997,18,30,-12,Role,POR,Chris Anstey,Didn't play College,,,,,,,,,,,,,,,,,,,,,
1997,50,28,22,Solid,ATL,Chris Crawford,Marquette,,,,,,,,,,,,,,,,,,,,,
1997,10,17,-7,Starter,MIL,Danny Fortson,Cincinnati,,,,,,,,,,,,,,,,,,,,,
1997,51,35,16,Role,LAL,DeJuan Wheat,Louisville,,,,,,,,,,,,,,,,,,,,,
1997,13,6,7,Elite,CLE,Derek Anderson,Kentucky,,,,,,,,,,,,,,,,,,,,,
1997,22,33,-11,Role,ATL,Ed Gray,California,,,,,,,,,,,,,,,,,,,,,
1997,40,51,-11,NA,SEA,Eddie Elisma,Georgia Tech,,,,,,,,,,,,,,,,,,,,,
1997,46,29,17,Role,ORL,Eric Washington,Alabama,,,,,,,,,,,,,,,,,,,,,
1997,45,45,0,Rotation,WAS,God Shammgod,Providence,,,,,,,,,,,,,,,,,,,,,
1997,43,52,-9,NA,MIN,Gordon Malone,West Virginia,,,,,,,,,,,,,,,,,,,,,
1997,27,21,6,Starter,UTA,Jacque Vaughn,Kansas,,,,,,,,,,,,,,,,,,,,,
1997,36,43,-7,Rotation,PHI,James Collins,Florida State,,,,,,,,,,,,,,,,,,,,,
1997,32,46,-14,Rotation,DEN,James Cotton,Cal State Long Beach,,,,,,,,,,,,,,,,,,,,,
1997,41,37,4,Role,DEN,Jason Lawson,Villanova,,,,,,,,,,,,,,,,,,,,,
1997,38,34,4,Role,MIL,Jerald Honeycutt,Tulane,,,,,,,,,,,,,,,,,,,,,
1997,25,39,-14,Rotation,NYK,John Thomas,Minnesota,,,,,,,,,,,,,,,,,,,,,
1997,17,31,-14,Role,ORL,Johnny Taylor,Chattanooga,,,,,,,,,,,,,,,,,,,,,
1997,35,42,-7,Rotation,PHI,Kebu Stewart,Cal State-Bakersfield,,,,,,,,,,,,,,,,,,,,,
1997,28,44,-16,Rotation,CHI,Keith Booth,Maryland,,,,,,,,,,,,,,,,,,,,,
1997,2,5,-3,Star,PHI,Keith Van Horn,Utah,,,,,,,,,,,,,,,,,,,,,
1997,15,20,-5,Starter,DAL,Kelvin Cato,Iowa State,,,,,,,,,,,,,,,,,,,,,
1997,37,22,15,Solid,GSW,Marc Jackson,Temple,,,,,,,,,,,,,,,,,,,,,
1997,54,18,36,Starter,SEA,Mark Blount,Pitt,,,,,,,,,,,,,,,,,,,,,
1997,30,53,-23,NA,MIA,Mark Sanford,Washington,,,,,,,,,,,,,,,,,,,,,
1997,33,38,-5,Role,PHI,Marko Milič,Didn't play College,,,,,,,,,,,,,,,,,,,,,
1997,14,19,-5,Starter,LAC,Maurice Taylor,Michigan,,,,,,,,,,,,,,,,,,,,,
1997,56,54,2,NA,UTA,Nate Erdmann,Oklahoma,,,,,,,,,,,,,,,,,,,,,
1997,20,47,-27,Rotation,MIN,Paul Grant,Wisconsin,,,,,,,,,,,,,,,,,,,,,
1997,53,55,-2,NA,LAL,Paul Rogers,Gonzaga,,,,,,,,,,,,,,,,,,,,,
1997,48,25,23,Solid,WAS,Predrag Drobnjak,Didn't play College,,,,,,,,,,,,,,,,,,,,,
1997,57,56,1,NA,CHI,Roberto Duenas,Didn't play College,,,,,,,,,,,,,,,,,,,,,
1997,24,36,-12,Role,HOU,Rodrick Rhodes,USC,,,,,,,,,,,,,,,,,,,,,
1997,6,14,-8,Starter,BOS,Ron Mercer,Kentucky,,,,,,,,,,,,,,,,,,,,,
1997,19,23,-4,Solid,DET,Scot Pollard,Kansas,,,,,,,,,,,,,,,,,,,,,
1997,29,57,-28,NA,HOU,Serge Zwikker,UNC,,,,,,,,,,,,,,,,,,,,,
1997,42,4,38,Star,PHO,Stephen Jackson,Butler County Community College,,,,,,,,,,,,,,,,,,,,,
1997,11,27,-16,Solid,SAC,Tariq Abdul-Wahad,San Jose State,,,,,,,,,,,,,,,,,,,,,
1997,1,1,0,Generational,SAS,Tim Duncan,Wake Forest,,,,,,,,,,,,,,,,,,,,,
1997,7,8,-1,Elite,NJN,Tim Thomas,Villanova,,,,,,,,,,,,,,,,,,,,,
1997,5,13,-8,Starter,DEN,Tony Battie,Texas Tech,,,,,,,,,,,,,,,,,,,,,
1997,9,2,7,SuperStar,TOR,Tracy McGrady,Didn't play College,,,,,,,,,,,,,,,,,,,,,
1998,25,8,17,Star,IND,Al Harrington,Didn't play College,,,,,,,,,,,,,,,,,,,,,
1998,46,48,-2,Rotation,MIN,Andrae Patterson,Indiana,,,,,,,,,,,,,,,,,,,,,
1998,50,58,-8,NA,CHH,Andrew Betts,Cal State Long Beach,,,,,,,,,,,,,,,,,,,,,
